,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,average_rating,number_of_votes
22958,tt2355601,Gameplay,Gameplay,2013,94.0,"Documentary,History",6.3,123
22959,tt2355631,Heavy Hands,Heavy Hands,2012,78.0,Drama,5.6,5
22960,tt2355666,Unmade in China,Unmade in China,2012,87.0,"Comedy,Documentary",8.4,25
22961,tt2355668,Alleine Tanzen,Alleine Tanzen,2012,100.0,"Documentary,Drama,Family",7.1,16
22962,tt2355689,La Culpa del Cordero,La Culpa del Cordero,2012,81.0,"Comedy,Drama",7.3,57
22963,tt2355691,La mala luz,La mala luz,2012,87.0,Thriller,6.1,53
22964,tt2355693,Landet som inte längre är,Landet som inte längre är,2012,76.0,Documentary,7.4,19
22965,tt2355725,Nayika,Nayika,2011,91.0,Drama,4.1,35
22966,tt2355765,Ordinary,Ordinary,2012,150.0,"Comedy,Drama,Musical",6.6,595
22967,tt2355771,Papilio Buddha,Papilio Buddha,2013,108.0,Drama,7.1,117
22968,tt2355773,Paradh,Paradh,2010,120.0,Drama,6.7,33
22969,tt2355808,Fragile World,Fragile World,2014,81.0,Drama,7.9,15
22970,tt2355813,Richard Thompson-Live at Celtic Connection,Richard Thompson-Live at Celtic Connection,2012,145.0,Music,8.9,8
22971,tt2355823,Sag Salim,Sag Salim,2012,98.0,Comedy,6.5,4570
22972,tt2355825,Sam's Story,Samige Kathawa,2011,94.0,Drama,6.9,144
22973,tt2355880,Mr. Soul!,Mr. Soul!,2018,90.0,Documentary,7.8,32
22974,tt2355903,The Mommy Returns,The Mommy Returns,2012,105.0,Comedy,5.9,22
22975,tt2355909,The Return of Uncle Benon,The Return of Uncle Benon,2011,91.0,Action,7.6,144
22976,tt2355913,The Tale of the Voodoo Prostitute,The Tale of the Voodoo Prostitute,2012,75.0,Horror,3.4,50
22977,tt2355921,AquaTales,The Wish Fish,2012,74.0,"Adventure,Animation",3.3,64
22978,tt2355936,Os Amigos,Os Amigos,2013,89.0,Drama,5.4,48
22979,tt2355961,Waterwalk,Waterwalk,2012,121.0,Family,7.0,33
22980,tt2356070,Mohabbath,Mohabbath,2011,138.0,"Drama,Romance",4.6,7
22981,tt2356114,Mourning Has Broken,Mourning Has Broken,2013,91.0,Drama,7.7,59
22982,tt2356180,Bhaag Milkha Bhaag,Bhaag Milkha Bhaag,2013,186.0,"Biography,Drama,Sport",8.2,54802
22983,tt2356234,The Pretty Boys,The Pretty Boys,2011,102.0,Action,5.2,90
22984,tt2356370,Un mito antropologico televisivo,Un mito antropologico televisivo,2011,56.0,Documentary,6.1,32
22985,tt2356374,74 (The Reconstruction of a Struggle),74 (La reconstitution d'une lutte),2012,95.0,Documentary,6.9,14
22986,tt2356380,Babylon,Babylon,2012,121.0,Documentary,5.8,11
22987,tt2356384,Hasta el sol tiene manchas,Hasta el sol tiene manchas,2012,62.0,Documentary,5.8,13
22988,tt2356404,I Am in Space,I Am in Space,2012,98.0,Documentary,6.3,13
22989,tt2356408,Dreamers,Dreamers,2012,90.0,"Biography,Documentary",7.5,28
22990,tt2356418,White Epilepsy,White Epilepsy,2012,68.0,Documentary,6.2,92
22991,tt2356420,Two Meters of This Land,Metran men hada al-turab,2012,80.0,Drama,7.2,18
22992,tt2356426,Le Halua Le,Le Halua Le,2012,125.0,"Comedy,Drama,Romance",6.0,96
22993,tt2356428,Être là,Être là,2012,94.0,Documentary,6.5,11
22994,tt2356444,A Mother's Dream,Ma Na Sapna,2013,86.0,Documentary,7.7,10
22995,tt2356464,Ostwind,Ostwind,2013,101.0,"Adventure,Drama,Family",6.9,1204
22996,tt2356474,Un bon bain chaud,Un bon bain chaud,2012,47.0,unknown,5.8,5
22997,tt2356500,An American Terror,An American Terror,2014,85.0,"Drama,Horror,Mystery",4.2,423
22998,tt2356526,The Watchers,The Watchers,2013,120.0,"Horror,Mystery,Thriller",5.3,51
22999,tt2356688,Madhubaanakadai,Madhubaanakadai,2012,112.0,"Comedy,Drama,Musical",7.2,67
23000,tt2356754,Crossing Boundaries,Grenzgänger,2012,90.0,Drama,6.6,66
23001,tt2356860,Karaoglan,Karaoglan,2013,116.0,"Action,Comedy,History",3.9,543
23002,tt2356894,Around the Autobahn,Havalie Otoban,2011,97.0,Drama,5.4,113
23003,tt2356959,Ajab Gazabb Love,Ajab Gazabb Love,2012,116.0,"Comedy,Romance",4.3,483
23004,tt2356975,Bathing Franky,Bathing Franky,2012,86.0,"Comedy,Drama",7.3,86
23005,tt2357003,Bound by Flesh,Bound by Flesh,2012,95.0,Documentary,6.5,455
23006,tt2357023,The Unfortunate Car,Che Zai Jiong Tu,2012,90.0,Comedy,3.1,33
23007,tt2357129,Jobs,Jobs,2013,128.0,"Biography,Drama",5.9,88788
23008,tt2357144,37,37,2014,94.0,"Mystery,Romance,Thriller",6.2,128
23009,tt2357157,La primavera,La primavera,2012,82.0,"Biography,Documentary",7.0,7
23010,tt2357181,Lost Boys,Lost Boys,2012,52.0,Documentary,7.4,12
23011,tt2357201,Maman,Maman,2012,88.0,Drama,5.2,232
23012,tt2357208,Run Baby Run,Run Baby Run,2012,180.0,"Action,Comedy,Thriller",6.7,1322
23013,tt2357211,Mirza: The Untold Story,Mirza: The Untold Story,2012,167.0,"Action,Comedy,Crime",4.5,268
23014,tt2357225,Mujeres republicanas,Mujeres republicanas,2010,82.0,Documentary,9.8,5
23015,tt2357263,Cold Turkey,Cold Turkey,2013,84.0,"Comedy,Drama",4.3,175
23016,tt2357273,Pumpuang,Pumpuang,2011,91.0,"Biography,Drama",7.8,20
23017,tt2357291,Rio 2,Rio 2,2014,101.0,"Adventure,Animation,Comedy",6.3,72209
23018,tt2357300,Scammerhead,Scammerhead,2014,108.0,"Comedy,Drama",8.5,74
23019,tt2357303,Sarebbe stato facile,Sarebbe stato facile,2013,91.0,Comedy,2.8,10
23020,tt2357309,Seadrift vs. the Big Guy,Seadrift vs. the Big Guy,2012,91.0,Documentary,8.8,18
23021,tt2357377,The Berlin File,Bereullin,2013,120.0,"Action,Thriller",6.6,5930
23022,tt2357453,Underground: The Julian Assange Story,Underground: The Julian Assange Story,2012,94.0,"Biography,Drama",6.7,1838
23023,tt2357461,Honey,Miele,2013,96.0,Drama,6.8,1704
23024,tt2357489,Zanjeer,Zanjeer,2013,137.0,Action,3.4,2134
